"synsetid","wordid","casedwordid","lemma","senseid","sensenum","lexid","tagcount","sensekey","cased","pos","lexdomainid","definition","sampleset"
107927917,26750,NULL,"cocktail",36577,1,0,0,"cocktail%1:13:00::",NULL,"n",13,"a short mixed drink",NULL
107928333,38309,9301,"dom pedro",53957,1,0,0,"dom_pedro%1:13:00::","Dom Pedro","n",13,"South African mixed drink made by mixing ice cream with whisky",NULL
107928451,64082,NULL,"highball",88718,1,0,0,"highball%1:13:00::",NULL,"n",13,"a mixed drink made of alcoholic liquor mixed with water or a carbonated beverage and served in a tall glass",NULL
107928739,45279,NULL,"eye opener",63838,1,0,0,"eye_opener%1:13:00::",NULL,"n",13,"an alcoholic drink intended to wake one up early in the morning",NULL
107928859,90235,NULL,"nightcap",124366,1,0,0,"nightcap%1:13:00::",NULL,"n",13,"an alcoholic drink taken at bedtime; often alcoholic",NULL
107928966,61317,NULL,"hair of the dog",84933,1,0,0,"hair_of_the_dog%1:13:00::",NULL,"n",13,"an alcoholic drink supposed to cure a hangover",NULL
107929074,118619,NULL,"shandy",165150,1,0,0,"shandy%1:13:00::",NULL,"n",13,"a drink made of beer and lemonade",NULL
107929074,118620,NULL,"shandygaff",165151,1,0,0,"shandygaff%1:13:00::",NULL,"n",13,"a drink made of beer and lemonade",NULL
107929173,126136,NULL,"stirrup cup",176723,1,0,0,"stirrup_cup%1:13:00::",NULL,"n",13,"a farewell drink (especially one offered to a horseman ready to depart); usually alcoholic",NULL
107929321,128165,NULL,"sundowner",179879,2,0,0,"sundowner%1:13:00::",NULL,"n",13,"a drink taken at sundown",NULL
107929420,85762,NULL,"mixer",118386,2,0,0,"mixer%1:13:00::",NULL,"n",13,"club soda or fruit juice used to mix with alcohol",NULL
